央视高清,#genre#
CCTV-1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.134.68.169:6610/PLTV/88888888/224/3221226016/index.m3u8?
CCTV-1,http://111.40.196.33/PLTV/88888888/224/3221225769/index.m3u8
CCTV-1,http://111.63.77.77:80/gitv_live/G_CCTV-1-MD/G_CCTV-1-MD.m3u8
CCTV-1,http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8
CCTV-1,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227634/index.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1,http://183.207.248.166/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225762/index.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1,http://ott.js.chinamobile.com/TVOD/3/224/3221228049/index.m3u8
CCTV-1,http://ott.js.chinamobile.com/PLTV/3/224/3221226316/index.m3u8
CCTV-1,http://ott.js.chinamobile.com/PLTV/3/224/3221227462/index.m3u8
CCTV-1,http://ott.js.chinamobile.com/PLTV/3/224/3221227467/index.m3u8
CCTV-1,http://ott.js.chinamobile.com/PLTV/3/224/3221227494/index.m3u8
CCTV-1,http://183.207.248.71/cntv/live1/cctv-1/cctv-1
CCTV-1,http://183.207.249.9/PLTV/3/224/3221225530/1.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221225642/index.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221225762/index.m3u8
CCTV-1,http://39.135.138.60:18890/TVOD/88888910/224/3221225918/index.m3u8
CCTV-1,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227634/index.m3u8
CCTV-1,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227467/index.m3u8
CCTV-1,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227467/index.m3u8
CCTV-1,http://223.110.235.5/ott.js.chinamobile.com/PLTV/3/224/3221228075/index.m3u8
CCTV-1,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228075/index.m3u8
CCTV-1,http://223.110.235.9/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1,http://223.110.235.8/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1,http://223.110.236.7/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1,http://223.110.236.6/ott.js.chinamobile.com/PLTV/3/224/3221228049/index.m3u8
CCTV-1,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227634/index.m3u8
CCTV-1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV-1,http://117.148.179.155:80/PLTV/88888888/224/3221231468/1.m3u8
CCTV-1,http://scgctvshow.sctv.com/scgc/cctv1/index.m3u8
CCTV-1,rtsp://183.252.166.199/PLTV/88888888/224/3221226834/48356507.smil
CCTV-1综合1,http://111.40.196.33/PLTV/88888888/224/3221225769/index.m3u8
CCTV-3综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-3HD综艺,http://39.134.68.169:6610/PLTV/88888888/224/3221226021/index.m3u8?
CCTV-4 国际,http://cctvalih5ca.v.myalicdn.com/live/cctv4_2/index.m3u8
CCTV-4HD,http://111.20.106.16:6610/yinhe/2/ch00000090990000001333/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
CCTV-16奥林匹克,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV-17农村,http://cctvalih5ca.v.myalicdn.com/live/cctv17_2/index.m3u8
CCTV-4k超高清,http://223.110.235.17/ott.js.chinamobile.com/PLTV/3/224/3221228242/index.m3u8
CCTV-2,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://39.130.202.81:6610/gitv_live/G_CCTV-2/G_CCTV-2.m3u8
CCTV-2,http://39.130.202.81:6610/gitv_live/G_CCTV-2-/G_CCTV-2-.m3u8
CCTV-2,http://39.135.129.167/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226178/index.m3u8
CCTV-2,http://39.135.129.163/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226703/index.m3u8
CCTV-2,http://39.135.129.165/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226711/index.m3u8
CCTV-2,http://39.135.129.162/PLTV/88888888/224/3221226417/1.m3u8
CCTV-2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.129.163/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226177/index.m3u8
CCTV-2,http://39.135.129.167/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226853/index.m3u8
CCTV-2,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV-2,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV-2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV-2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV-2,http://ott.js.chinamobile.com/TVOD/3/224/3221228094/index.m3u8
CCTV-2,http://223.110.242.134:6610/jsyd/live1/G_CCTV-2-MD/G_CCTV-2-MD/
CCTV-2,http://223.110.242.142:6610/jsyd/live1/G_CCTV-2-MD/G_CCTV-2-MD/
CCTV-2,http://223.110.242.134:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/
CCTV-2,http://223.110.242.133:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/
CCTV-2,http://ott.js.chinamobile.com/PLTV/3/224/3221227207/index.m3u8
CCTV-2,http://ott.js.chinamobile.com/PLTV/3/224/3221227427/index.m3u8
CCTV-2,http://ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8
CCTV-2,http://39.135.138.60:18890/TVOD/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.135.138.60:18890/TVOD/88888910/224/3221225643/index.m3u8
CCTV-2,http://223.110.243.172/PLTV/3/224/3221227207/index.m3u8
CCTV-2,http://223.110.243.173/PLTV/3/224/3221227207/index.m3u8
CCTV-2,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227696/index.m3u8
CCTV-3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-3,http://39.135.138.60:18890/TVOD/88888910/224/3221225634/index.m3u8
CCTV-3,http://39.135.138.60:18890/TVOD/88888910/224/3221225647/index.m3u8
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3,http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227623/index.m3u8
CCTV-3,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/cctv3hd/4000000/mnf.m3u8
CCTV-3,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3,http://183.207.249.14/PLTV/3/224/3221225588/index.m3u8
CCTV-4,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV-4,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4,http://39.130.202.81:6610/gitv_live/CCTV-4/CCTV-4.m3u8
CCTV-4,http://39.130.202.81:6610/gitv_live/G_CCTV-4-/G_CCTV-4-.m3u8
CCTV-4,http://39.135.129.163/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226176/index.m3u8
